SUBSTÂNCIA	PRODUTO	CLASSE TERAPÊUTICA	TIPO DE PRODUTO (STATUS DO PRODUTO)	TARJA	DESTINAÇÃO COMERCIAL 
21-ACETATO DE DEXAMETASONA;CLOTRIMAZOL	BAYCUTEN N	D7B2 - CORTICOESTERÓIDES ASSOCIADOS A ANTIMICOTICOS	Novo	- (*) 	
ABATACEPTE	ORENCIA	M1C - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS	Biológico	Tarja Vermelha	
ABEMACICLIBE	VERZENIOS	L1H - INIBIDORES DE PROTEINA QUINASE	Novo	Tarja Vermelha	
ABROCITINIBE	CIBINQO	D5X - OUTROS PRODUTOS ANTI-INFLAMATÓRIOS NÃO ESTEROIDAIS DERMATOLÓGICOS	Novo	Tarja Vermelha	
ACARBOSE	AGLUCOSE	A10L - ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE	Similar	- (*) 	
ACEBROFILINA	ACEBROFILINA	R5C - EXPECTORANTES	Genérico	Tarja Vermelha	
ACEBROFILINA	FILINAR G	R5C - EXPECTORANTES	Novo	- (*) 	
ACEBROFILINA	FILINAR	R5C - EXPECTORANTES	Similar	Tarja Vermelha	
ACEBROFILINA	ACEBROFILINA	R5C - EXPECTORANTES	Genérico	Tarja Vermelha sob restrição	
ACEBROFILINA	ACEBROFILINA	R5C - EXPECTORANTES	Genérico	Tarja Vermelha	
ACEBROFILINA	LISOMUC	R5C - EXPECTORANTES	Similar	- (*) 	
ACEBROFILINA	ACEBROFILINA	R5C - EXPECTORANTES	Genérico	Tarja Vermelha	
ACEBROFILINA	MELYSSE	R5C - EXPECTORANTES	Similar	Tarja Vermelha	
ACEBROFILINA	BRONDILAT	R5C - EXPECTORANTES	Similar	Tarja Vermelha	
ACEBROFILINA	ACEBROFILINA	R5C - EXPECTORANTES	Genérico	Tarja Vermelha	
ACEBROFILINA	ACEBROFILINA	R5C - EXPECTORANTES	Genérico	Tarja Vermelha	
ACEBROFILINA	BRONCOMUCOL	R5C - EXPECTORANTES	Similar	- (*) 	
ACEBROFILINA	ACEBROFILINA	R5C - EXPECTORANTES	Genérico	Tarja Vermelha	
ACEBROFILINA	ACEBROFILINA	R5C - EXPECTORANTES	Genérico	Tarja Vermelha	
ACEBROFILINA	ACEBROFILINA	R5C - EXPECTORANTES	Genérico	Tarja Vermelha	
ACEBROFILINA	BRONTEK	R5C - EXPECTORANTES	Similar	Tarja Vermelha	
ACEBROFILINA	ACEBROFILINA	R5C - EXPECTORANTES	Genérico	Tarja Vermelha	
ACEBROFILINA	ACEBROFILINA	R5C - EXPECTORANTES	Genérico	- (*) 	
ACEBROFILINA	BRONCOLEX	R5C - EXPECTORANTES	Similar	Tarja Vermelha	
ACEBROFILINA	RESPIRAN	R5C - EXPECTORANTES	Similar	Tarja Vermelha	
ACECLOFENACO	PROFLAM	M2A - ANTIRREUMÁTICOS E ANALGÉSICOS TÓPICOS	Novo	- (*) 	
ACECLOFENACO	ACECLOFENACO	M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS	Genérico	- (*) 	
ACECLOFENACO	ACECLOFENACO	M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS	Genérico	- (*) 	
ACECLOFENACO	ACECLOFENACO	M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS	Genérico	- (*) 	
ACECLOFENACO	ACECLOFENACO	M2A - ANTIRREUMÁTICOS E ANALGÉSICOS TÓPICOS	Genérico	- (*) 	
ACECLOFENACO	ACECLOFENACO	M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS	Genérico	- (*) 	
ACECLOFENACO	ACEFLOR	M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS	Similar	Tarja Vermelha	
ACECLOFENACO	ACECLOFENACO	M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS	Genérico	Tarja Vermelha	
ACECLOFENACO	ACECLOFENACO	M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS	Genérico	Tarja Vermelha	
ACECLOFENACO	ACECLOFENACO	M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS	Genérico	Tarja Vermelha	
ACECLOFENACO	ACECLO-GRAN	M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS	Similar	Tarja Vermelha	
ACEPONATO DE METILPREDNISOLONA	ADVANTAN	D7A - CORTICOESTERÓIDES TÓPICOS PUROS	Novo	Tarja Vermelha	
ACETATO DE ABIRATERONA	ZOSTIDE	L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS	Similar	Tarja Vermelha	
ACETATO DE ABIRATERONA	MATIZ	L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS	Similar	Tarja Vermelha	
ACETATO DE ABIRATERONA	ACETATO DE ABIRATERONA	L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS	Genérico	Tarja Vermelha	
ACETATO DE ABIRATERONA	ABMETHA	L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS	Similar	Tarja Vermelha	
ACETATO DE ABIRATERONA	ACETATO DE ABIRATERONA	L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS	Genérico	Tarja Vermelha	
ACETATO DE ABIRATERONA	SPYLGLEN	L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS	Similar	Tarja Vermelha	
ACETATO DE ABIRATERONA	ZYTIGA	L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS	Novo	Tarja Vermelha	
ACETATO DE ABIRATERONA	ZYTIGA®	L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS	Novo	Tarja Vermelha	
ACETATO DE ABIRATERONA	ACETATO DE ABIRATERONA	L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS	Genérico	Tarja Vermelha	
ACETATO DE ABIRATERONA	ACETATO DE ABIRATERONA	L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS	Genérico	Tarja Vermelha	
ACETATO DE ABIRATERONA	BALEFIO	L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS	Similar	Tarja Vermelha	
ACETATO DE ABIRATERONA	RARIJA	L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS	Similar	Tarja Vermelha	
ACETATO DE ABIRATERONA	ACETATO DE ABIRATERONA	L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS	Genérico	Tarja Vermelha	
ACETATO DE ATOSIBANA	TRACTOCILE	G2E - INIBIDORES DO PARTO	Novo	Tarja Vermelha	
ACETATO DE ATOSIBANA	ACETATO DE ATOSIBANA	G2E - INIBIDORES DO PARTO	Genérico	Tarja Vermelha	
ACETATO DE BAZEDOXIFENO;ESTROGÊNIOS CONJUGADOS	DUAVIVE	G3C - ESTRÓGENOS EXCLUINDO G3A, G3E, G3F	Biológico	- (*) 	
ACETATO DE CASPOFUNGINA	BERK	J2A - AGENTES SISTÊMICOS PARA INFECÇÕES FÚNGICAS	Similar	Tarja Vermelha	
ACETATO DE CASPOFUNGINA	CANCIDAS	J2A - AGENTES SISTÊMICOS PARA INFECÇÕES FÚNGICAS	Novo	Tarja Vermelha	
ACETATO DE CASPOFUNGINA	ACETATO DE CASPOFUNGINA	J2A - AGENTES SISTÊMICOS PARA INFECÇÕES FÚNGICAS	Genérico	Tarja Vermelha	
ACETATO DE CASPOFUNGINA	KAZFONA	J2A - AGENTES SISTÊMICOS PARA INFECÇÕES FÚNGICAS	Similar	Tarja Vermelha	
ACETATO DE CETRORRELIX	CETROTIDE	H1C3 - HORMÔNIOS DE LIBERAÇÃO ANTIGONADOTROFINA	Novo	Tarja Vermelha	
ACETATO DE CIPROTERONA	ACETATO DE CIPROTERONA	L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS	Genérico	- (*) 	
ACETATO DE CIPROTERONA	ANDROCUR	G3A5 - PREPARAÇÕES ORAIS COM PROGESTAGÊNIOS SOMENTE	Novo	Tarja Vermelha	
ACETATO DE CIPROTERONA	ANDROCUR	L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS	Novo	Tarja Vermelha	
ACETATO DE CIPROTERONA;ETINILESTRADIOL	SELENE	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Similar	Tarja Vermelha	
ACETATO DE CIPROTERONA;ETINILESTRADIOL	DICLIN	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Similar	Tarja Vermelha	
ACETATO DE CIPROTERONA;ETINILESTRADIOL	ACETATO DE CIPROTERONA + ETINILESTRADIOL	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Genérico	Tarja Vermelha	
ACETATO DE CIPROTERONA;ETINILESTRADIOL	JAQUE	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Similar	Tarja Vermelha	
ACETATO DE CIPROTERONA;ETINILESTRADIOL	ACETATO DE CIPROTERONA+ETINILESTRADIOL	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Genérico	Tarja Vermelha	
ACETATO DE CIPROTERONA;ETINILESTRADIOL	TESS	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Similar	Tarja Vermelha	
ACETATO DE CIPROTERONA;ETINILESTRADIOL	ACETATO DE CIPROTERONA + ETINILESTRADIOL	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Genérico	Tarja Vermelha	
ACETATO DE CIPROTERONA;ETINILESTRADIOL	ACETATO DE CIPROTERONA + ETINILESTRADIOL	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Genérico	Tarja Vermelha	
ACETATO DE CIPROTERONA;ETINILESTRADIOL	DUNIA 35	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Similar	Tarja Vermelha	
ACETATO DE CIPROTERONA;ETINILESTRADIOL	ACETATO DE CIPROTERONA + ETINILESTRADIOL	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Genérico	Tarja Vermelha	
ACETATO DE CIPROTERONA;ETINILESTRADIOL	FERANE 35	G3A9 - OUTROS HORMÔNIOS CONTRACEPTIVOS SISTÊMICOS	Similar	Tarja Vermelha	
ACETATO DE CIPROTERONA;ETINILESTRADIOL	ARTEMIDIS 35	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Similar	Tarja Vermelha	
ACETATO DE CIPROTERONA;ETINILESTRADIOL	ACETATO DE CIPROTERONA+ETINILESTRADIOL	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Genérico	Tarja Vermelha	
ACETATO DE CIPROTERONA;ETINILESTRADIOL	DUELLE	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Similar	Tarja Vermelha	
ACETATO DE CIPROTERONA;ETINILESTRADIOL	REPOPIL 35	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Similar	Tarja Vermelha	
ACETATO DE CIPROTERONA;ETINILESTRADIOL	ACETATO DE CIPROTERONA + ETINILESTRADIOL	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Genérico	Tarja Vermelha	
ACETATO DE CIPROTERONA;ETINILESTRADIOL	DIANE 35	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Novo	Tarja Vermelha	
ACETATO DE CIPROTERONA;ETINILESTRADIOL	ACETATO DE CIPROTERONA+ETINILESTRADIOL	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Genérico	- (*) 	
ACETATO DE CIPROTERONA;VALERATO DE ESTRADIOL	CLIMENE	G3F - ASSOCIAÇÕES DE ESTRÓGENOS E PROGESTÓGENOS	Novo	Tarja Vermelha	
ACETATO DE CLORMADINONA;ETINILESTRADIOL	ACETATO DE CLORMADINONA + ETINILESTRADIOL	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Genérico	Tarja Vermelha	
ACETATO DE CLORMADINONA;ETINILESTRADIOL	AMORA	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Similar	Tarja Vermelha	
ACETATO DE CLORMADINONA;ETINILESTRADIOL	AMORA 20	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Similar	Tarja Vermelha	
ACETATO DE CLORMADINONA;ETINILESTRADIOL	ACETATO DE CLORMADINONA + ETINILESTRADIOL	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Genérico	Tarja Vermelha	
ACETATO DE CLORMADINONA;ETINILESTRADIOL	BELADIOL	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Similar	Tarja Vermelha	
ACETATO DE CLORMADINONA;ETINILESTRADIOL	CHERRY	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Similar	Tarja Vermelha	
ACETATO DE CLORMADINONA;ETINILESTRADIOL	EMILY	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Similar	Tarja Vermelha	
ACETATO DE CLORMADINONA;ETINILESTRADIOL	ACETATO DE CLORMADINONA + ETINILESTRADIOL	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Genérico	Tarja Vermelha	
ACETATO DE CLORMADINONA;ETINILESTRADIOL	ACETATO DE CLORMADINONA + ETINILESTRADIOL	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Genérico	Tarja Vermelha	
ACETATO DE CLORMADINONA;ETINILESTRADIOL	LIBERFEM	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Similar	Tarja Vermelha	
ACETATO DE CLORMADINONA;ETINILESTRADIOL	ACETATO DE CLORMADINONA + ETINILESTRADIOL	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Genérico	Tarja Vermelha	
ACETATO DE CLORMADINONA;ETINILESTRADIOL	ACETATO DE CLORMADINONA + ETINILESTRADIOL	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Genérico	Tarja Vermelha	
ACETATO DE CLORMADINONA;ETINILESTRADIOL	ACETATO DE CLORMADINONA + ETINILESTRADIOL	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Genérico	Tarja Vermelha	
ACETATO DE CLORMADINONA;ETINILESTRADIOL	LOLITA	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Similar	Tarja Vermelha	
ACETATO DE CLORMADINONA;ETINILESTRADIOL	BELARA	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Novo	Tarja Vermelha	
ACETATO DE CLORMADINONA;ETINILESTRADIOL	BELARINA	G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG	Novo	Tarja Vermelha	
ACETATO DE DEGARELIX	FIRMAGON	L2B9 - OUTROS CITOSTÁTICOS ANTAGONISTAS HORMONAIS	Novo	Tarja Vermelha	
ACETATO DE DESMOPRESSINA	ACETATO DE DESMOPRESSINA	H4D - HORMÔNIOS ANTIDIURÉTICOS	Genérico	Tarja Vermelha	
ACETATO DE DESMOPRESSINA	DOSYX	H4D - HORMÔNIOS ANTIDIURÉTICOS	Similar	Tarja Vermelha	
ACETATO DE DESMOPRESSINA	FURP-DESMOPRESSINA	H4D - HORMÔNIOS ANTIDIURÉTICOS	Similar	- (*) 	
ACETATO DE DESMOPRESSINA	DDAVP	H4D - HORMÔNIOS ANTIDIURÉTICOS	Novo	Tarja Vermelha	
ACETATO DE DEXAMETASONA	ACETATO DE DEXAMETASONA	D7A - CORTICOESTERÓIDES TÓPICOS PUROS	Genérico	- (*) 	
ACETATO DE DEXAMETASONA	ACETATO DE DEXAMETASONA	D7A - CORTICOESTERÓIDES TÓPICOS PUROS	Genérico	Tarja Vermelha	
ACETATO DE DEXAMETASONA	DEXAMEX	D7A - CORTICOESTERÓIDES TÓPICOS PUROS	Similar	- (*) 	
ACETATO DE DEXAMETASONA	ACETATO DE DEXAMETASONA	D7A - CORTICOESTERÓIDES TÓPICOS PUROS	Genérico	- (*) 	
ACETATO DE DEXAMETASONA	ACETATO DE DEXAMETASONA	D7A - CORTICOESTERÓIDES TÓPICOS PUROS	Genérico	Tarja Vermelha	
ACETATO DE DEXAMETASONA	METADEX	D7A - CORTICOESTERÓIDES TÓPICOS PUROS	Similar	Tarja Vermelha	
ACETATO DE DEXAMETASONA	DEXAMETRAT	D7A - CORTICOESTERÓIDES TÓPICOS PUROS	Similar	Tarja Vermelha	
ACETATO DE DEXAMETASONA	ACETATO DE DEXAMETASONA	D7A - CORTICOESTERÓIDES TÓPICOS PUROS	Genérico	Tarja Vermelha	
ACETATO DE DEXAMETASONA	ACETATO DE DEXAMETASONA	D7A - CORTICOESTERÓIDES TÓPICOS PUROS	Genérico	Tarja Vermelha	
ACETATO DE DEXAMETASONA	FURP-DEXAMETASONA	D7A - CORTICOESTERÓIDES TÓPICOS PUROS	Similar	- (*) 	
ACETATO DE DEXAMETASONA	ACETATO DE DEXAMETASONA	D7A - CORTICOESTERÓIDES TÓPICOS PUROS	Genérico	Tarja Vermelha	
ACETATO DE DEXAMETASONA	ACETATO DE DEXAMETASONA	D7A - CORTICOESTERÓIDES TÓPICOS PUROS	Genérico	- (*) 	
ACETATO DE DEXAMETASONA	CORTITOP	D7A - CORTICOESTERÓIDES TÓPICOS PUROS	Similar	- (*) 	
ACETATO DE DEXAMETASONA	DEXAGREEN	D7A - CORTICOESTERÓIDES TÓPICOS PUROS	Similar	- (*) 	
ACETATO DE DEXAMETASONA	ACETATO DE DEXAMETASONA	D7A - CORTICOESTERÓIDES TÓPICOS PUROS	Genérico	- (*) 	
ACETATO DE DEXAMETASONA	ACETATO DE DEXAMETASONA	D7A - CORTICOESTERÓIDES TÓPICOS PUROS	Genérico	Tarja Vermelha	
ACETATO DE DEXAMETASONA	ACETATO DE DEXAMETASONA	D7A - CORTICOESTERÓIDES TÓPICOS PUROS	Genérico	- (*) 	
ACETATO DE DEXAMETASONA	CETADEX	D7A - CORTICOESTERÓIDES TÓPICOS PUROS	Similar	- (*) 	
ACETATO DE DEXAMETASONA	DEXADERMIL	D7A - CORTICOESTERÓIDES TÓPICOS PUROS	Similar	Tarja Vermelha	
ACETATO DE FLUDROCORTISONA	FLORINEFE	H2A2 - CORTICOSTERÓIDES ORAIS PUROS	Novo	Tarja Vermelha	
ACETATO DE FLUORMETOLONA	FLORATE	S1B - CORTICOSTERÓIDES OFTALMOLÓGICOS	Novo	Tarja Vermelha	
ACETATO DE FLUORMETOLONA	FLUTINOL	S1B - CORTICOSTERÓIDES OFTALMOLÓGICOS	Similar	- (*) 	
ACETATO DE GANIRRELIX	ORGALUTRAN	H1C3 - HORMÔNIOS DE LIBERAÇÃO ANTIGONADOTROFINA	Novo	Tarja Vermelha	
ACETATO DE GLATIRÂMER	COPAXONE	N7A - PRODUTOS PARA ESCLEROSE MÚLTIPLA	Novo	Tarja Vermelha	
ACETATO DE GLATIRÂMER	GLAMETIX	N7A - PRODUTOS PARA ESCLEROSE MÚLTIPLA	Similar	Tarja Vermelha	
ACETATO DE GOSSERRELINA	ZOLADEX	L2A3 - ANÁLOGOS HORMONAIS DE LIBERAÇÃO DE GONADOTROFINAS CITOSTÁTICOS	Novo	Tarja Vermelha	
ACETATO DE HIDROCORTISONA	ACETATO DE HIDROCORTISONA	D7A - CORTICOESTERÓIDES TÓPICOS PUROS	Genérico	Tarja Sem Tarja	
ACETATO DE HIDROCORTISONA	ACETATO DE HIDROCORTISONA	D7A - CORTICOESTERÓIDES TÓPICOS PUROS	Genérico	Tarja Sem Tarja	
ACETATO DE HIDROCORTISONA	CORTIGEN	D7A - CORTICOESTERÓIDES TÓPICOS PUROS	Similar	Tarja Sem Tarja	
ACETATO DE ICATIBANTO	FIRAZYR	B6D - PRODUTOS PARA ANGIODEMA HEREDITÁRIO	Novo	Tarja Vermelha	
ACETATO DE ICATIBANTO	ACETATO DE ICATIBANTO	B6D - PRODUTOS PARA ANGIODEMA HEREDITÁRIO	Genérico	Tarja Vermelha	
ACETATO DE ICATIBANTO	GULANDARIPA	B6D - PRODUTOS PARA ANGIODEMA HEREDITÁRIO	Similar	Tarja Vermelha	
ACETATO DE LANREOTIDA	SOMATULINE AUTOGEL	H1C2 - HORMÔNIOS ANTICRESCIMENTO	Novo	Tarja Vermelha	
ACETATO DE LEUPRORRELINA	LECTRUM	L2A3 - ANÁLOGOS HORMONAIS DE LIBERAÇÃO DE GONADOTROFINAS CITOSTÁTICOS	Similar	Tarja Vermelha	
ACETATO DE LEUPRORRELINA	ELIGARD	L2A3 - ANÁLOGOS HORMONAIS DE LIBERAÇÃO DE GONADOTROFINAS CITOSTÁTICOS	Novo	Tarja Vermelha	
ACETATO DE LEUPRORRELINA	LUPRON	L2A3 - ANÁLOGOS HORMONAIS DE LIBERAÇÃO DE GONADOTROFINAS CITOSTÁTICOS	Novo	Tarja Vermelha	
ACETATO DE MEDROXIPROGESTERONA	DEMEDROX	G3A9 - OUTROS HORMÔNIOS CONTRACEPTIVOS SISTÊMICOS	Similar	Tarja Vermelha	
ACETATO DE MEDROXIPROGESTERONA	CONTRACEP	G3A9 - OUTROS HORMÔNIOS CONTRACEPTIVOS SISTÊMICOS	Similar	- (*) 	
ACETATO DE MEDROXIPROGESTERONA	DEPO-PROVERA	G3A9 - OUTROS HORMÔNIOS CONTRACEPTIVOS SISTÊMICOS	Novo	Tarja Vermelha	
ACETATO DE MEDROXIPROGESTERONA	PROVERA	G3D - PROGESTÓGENOS EXCLUINDO G3A, G3F	Novo	- (*) 	
ACETATO DE MEDROXIPROGESTERONA;CIPIONATO DE ESTRADIOL	CYCLOFEMINA	G3A9 - OUTROS HORMÔNIOS CONTRACEPTIVOS SISTÊMICOS	Novo	Tarja Vermelha	
ACETATO DE MEDROXIPROGESTERONA;CIPIONATO DE ESTRADIOL	LYNDAVELUNO	G3A9 - OUTROS HORMÔNIOS CONTRACEPTIVOS SISTÊMICOS	Similar	Tarja Vermelha	
ACETATO DE MEDROXIPROGESTERONA;CIPIONATO DE ESTRADIOL	ACETATO DE MEDROXIPROGESTERONA +CIPIONATO DE ESTRADIOL	G3A9 - OUTROS HORMÔNIOS CONTRACEPTIVOS SISTÊMICOS	Genérico	Tarja Vermelha	
ACETATO DE MEDROXIPROGESTERONA;CIPIONATO DE ESTRADIOL	NAOMI	G3A9 - OUTROS HORMÔNIOS CONTRACEPTIVOS SISTÊMICOS	Similar	Tarja Vermelha	
ACETATO DE MEGESTROL	FEMIGESTROL	L2A2 - HORMÔNIOS PROGESTOGÊNEOS CITOSTÁTICOS	Similar	Tarja Vermelha	
ACETATO DE METILPREDNISOLONA	PREDI-MEDROL	H2A1 - CORTICOSTERÓIDES INJETÁVEIS PUROS	Similar	Tarja Vermelha	
ACETATO DE METILPREDNISOLONA	DEPO-MEDROL	H2A1 - CORTICOSTERÓIDES INJETÁVEIS PUROS	Novo	- (*) 	
ACETATO DE NORETISTERONA	PRIMOLUT-NOR	G3D - PROGESTÓGENOS EXCLUINDO G3A, G3F	Novo	Tarja Vermelha	
ACETATO DE OCTREOTIDA	SANDOSTATIN	H1C2 - HORMÔNIOS ANTICRESCIMENTO	Novo	Tarja Vermelha	
ACETATO DE OCTREOTIDA	OCTRIDE	H1C2 - HORMÔNIOS ANTICRESCIMENTO	Similar	- (*) 	
ACETATO DE PREDNISOLONA	PRED	S1B - CORTICOSTERÓIDES OFTALMOLÓGICOS	Novo	- (*) 	
ACETATO DE PREDNISOLONA	OFTPRED	S1B - CORTICOSTERÓIDES OFTALMOLÓGICOS	Similar	- (*) 	
ACETATO DE PREDNISOLONA	STER	S1B - CORTICOSTERÓIDES OFTALMOLÓGICOS	Similar	Tarja Vermelha	
ACETATO DE PREDNISOLONA	PREDOPTIC	S1B - CORTICOSTERÓIDES OFTALMOLÓGICOS	Similar	- (*) 	
ACETATO DE PREDNISOLONA	ACETATO DE PREDNISOLONA	S1B - CORTICOSTERÓIDES OFTALMOLÓGICOS	Genérico	- (*) 	
ACETATO DE PREDNISOLONA	VISIOPRED	S1B - CORTICOSTERÓIDES OFTALMOLÓGICOS	Similar	- (*) 	
ACETATO DE RACEALFATOCOFEROL	EMAMA	A11X3 - VITAMINA E PURA	Específico	- (*) 	
ACETATO DE RACEALFATOCOFEROL	VITAMINA E	A11X3 - VITAMINA E PURA	Específico	- (*) 	
ACETATO DE RACEALFATOCOFEROL	TEUTOVIT E	A11X3 - VITAMINA E PURA	Específico	Tarja Sem Tarja	
ACETATO DE RACEALFATOCOFEROL	VITA E	A11X3 - VITAMINA E PURA	Específico	Tarja Sem Tarja	
ACETATO DE RACEALFATOCOFEROL	VITAMIN E	A11X3 - VITAMINA E PURA	Específico	- (*) 	
ACETATO DE RACEALFATOCOFEROL	EPHYNAL	A11X3 - VITAMINA E PURA	Específico	Tarja Vermelha	
ACETATO DE RACEALFATOCOFEROL;BETACAROTENO;SELÊNIO;COBRE;ÁCIDO ASCÓRBICO;ZINCO	VITERGAN ZINCO	A11A4 - OUTROS POLIVITAMÍNICOS COM MINERAIS	Específico	Tarja Sem Tarja	
ACETATO DE RACEALFATOCOFEROL;PALMITATO DE RETINOL;COLECALCIFEROL	ADEFORTE	A11B4 - POLIVITAMÍNICOS SEM MINERAIS, OUTROS	Específico	- (*) 	
ACETATO DE RACEALFATOCOFEROL;SILYBUM MARIANUM (L.) GAERTN	SILIMALON VITA E	A5B - HEPATOPROTETORES E LIPOTRÓPICOS	Específico	Tarja Vermelha	
ACETATO DE RACEALFATOCOFEROL;ÁCIDO FÓLICO	ENVID	A11X9 - TODAS OUTRAS VITAMINAS	Específico	- (*) 	
ACETATO DE RETINOL;COLECALCIFEROL	AD-TIL	A11C3 - ASSOCIAÇÕES VITAMINAS A COM D	Específico	Tarja Vermelha	
ACETATO DE RETINOL;COLECALCIFEROL	AD-VITAM	A11C3 - ASSOCIAÇÕES VITAMINAS A COM D	Específico	Tarja Sem Tarja	
ACETATO DE RETINOL;COLECALCIFEROL	AD-TIL	A11C3 - ASSOCIAÇÕES VITAMINAS A COM D	Específico	Tarja Vermelha	
